phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
phase_1,max_1,sum_1,phase_2,max_2,sum_2,phase_3,max_3,sum_3,phase_4,max_4,sum_4
15,6,28,8,6,31,1,5,40,1,6,55
5,6,36,7,6,35,9,7,41,1,6,51
5,6,35,7,6,37,9,8,40,1,5,49
15,7,35,7,6,40,9,6,39,1,5,51
5,6,36,7,6,37,9,7,40,11,7,54
5,7,37,7,7,38,9,6,38,11,6,50
5,7,39,7,7,42,9,7,42,1,5,49
5,6,37,9,8,42,9,9,48,11,6,48
5,6,33,9,6,38,9,7,44,11,6,45
5,5,25,7,4,30,11,6,41,11,6,54
15,5,26,7,5,36,11,6,43,11,7,53
5,6,37,7,6,41,11,6,42,11,7,52
5,5,33,7,6,44,9,6,41,11,7,59
5,5,35,9,6,42,9,8,43,11,7,55
5,5,34,8,5,38,9,6,37,1,6,58
7,6,37,7,7,43,1,5,42,11,7,65
15,8,39,7,7,43,9,5,42,11,8,60
15,9,39,8,6,42,9,6,41,1,6,57
15,9,37,7,6,41,9,6,40,1,6,53
15,8,36,17,5,36,9,6,44,1,6,51
15,9,32,7,4,35,1,5,38,1,6,48
15,9,32,7,4,31,1,5,40,15,7,50
15,9,30,7,4,30,1,5,38,1,6,55
5,7,40,7,6,36,1,5,37,11,7,54
5,5,33,7,5,36,9,6,38,1,6,54
5,6,28,9,5,28,9,6,40,12,7,56
5,7,27,9,5,28,9,6,41,11,7,58
5,7,25,9,6,31,9,8,44,11,7,57
5,5,27,7,5,37,9,6,41,11,7,56
5,5,27,7,4,31,9,5,37,11,7,56
5,5,26,7,4,31,11,6,41,11,7,55
