2018/7/22	0:00	6
2018/7/22	0:10	6
2018/7/22	0:15	5
2018/7/22	0:20	3
2018/7/22	0:25	3
2018/7/22	0:30	1
2018/7/22	0:35	4
2018/7/22	0:40	2
2018/7/22	0:45	1
2018/7/22	0:55	1
2018/7/22	1:00	7
2018/7/22	1:05	1
2018/7/22	1:10	4
2018/7/22	1:15	3
2018/7/22	1:20	2
2018/7/22	1:25	1
2018/7/22	1:35	1
2018/7/22	1:40	4
2018/7/22	1:45	2
2018/7/22	1:50	2
2018/7/22	2:00	2
2018/7/22	2:05	1
2018/7/22	2:10	1
2018/7/22	2:15	1
2018/7/22	2:20	3
2018/7/22	2:25	2
2018/7/22	2:30	2
2018/7/22	2:35	3
2018/7/22	2:45	1
2018/7/22	2:50	2
2018/7/22	2:55	1
2018/7/22	3:00	1
2018/7/22	3:05	2
2018/7/22	3:15	1
2018/7/22	3:20	1
2018/7/22	3:35	2
2018/7/22	3:40	1
2018/7/22	3:45	4
2018/7/22	3:50	2
2018/7/22	3:55	2
2018/7/22	4:00	2
2018/7/22	4:05	2
2018/7/22	4:10	2
2018/7/22	4:20	1
2018/7/22	4:25	2
2018/7/22	4:40	2
2018/7/22	4:50	5
2018/7/22	4:55	1
2018/7/22	5:00	3
2018/7/22	5:05	3
2018/7/22	5:15	1
2018/7/22	5:20	3
2018/7/22	5:25	2
2018/7/22	5:30	5
2018/7/22	5:35	2
2018/7/22	5:40	2
2018/7/22	5:45	7
2018/7/22	5:50	4
2018/7/22	5:55	4
2018/7/22	6:00	6
2018/7/22	6:05	7
2018/7/22	6:10	4
2018/7/22	6:15	5
2018/7/22	6:20	6
2018/7/22	6:25	4
2018/7/22	6:30	6
2018/7/22	6:35	2
2018/7/22	6:40	7
2018/7/22	6:45	5
2018/7/22	6:50	8
2018/7/22	6:55	5
2018/7/22	7:00	12
2018/7/22	7:05	7
2018/7/22	7:10	13
2018/7/22	7:15	8
2018/7/22	7:20	12
2018/7/22	7:25	8
2018/7/22	7:30	9
2018/7/22	7:35	8
2018/7/22	7:40	14
2018/7/22	7:45	14
2018/7/22	7:50	14
2018/7/22	7:55	20
2018/7/22	8:00	15
2018/7/22	8:05	8
2018/7/22	8:10	22
2018/7/22	8:15	24
2018/7/22	8:20	11
2018/7/22	8:25	13
2018/7/22	8:30	23
2018/7/22	8:35	21
2018/7/22	8:40	18
2018/7/22	8:45	23
2018/7/22	8:50	26
2018/7/22	8:55	9
2018/7/22	9:00	27
2018/7/22	9:05	18
2018/7/22	9:10	16
2018/7/22	9:15	23
2018/7/22	9:20	12
2018/7/22	9:25	19
2018/7/22	9:30	19
2018/7/22	9:35	17
2018/7/22	9:40	21
2018/7/22	9:45	11
2018/7/22	9:50	12
2018/7/22	9:55	8
2018/7/22	10:00	17
2018/7/22	10:05	20
2018/7/22	10:10	18
2018/7/22	10:15	19
2018/7/22	10:20	16
2018/7/22	10:25	18
2018/7/22	10:30	20
2018/7/22	10:35	15
2018/7/22	10:40	20
2018/7/22	10:45	10
2018/7/22	10:50	16
2018/7/22	10:55	20
2018/7/22	11:00	15
2018/7/22	11:05	16
2018/7/22	11:10	19
2018/7/22	11:15	11
2018/7/22	11:20	18
2018/7/22	11:25	19
2018/7/22	11:30	21
2018/7/22	11:35	15
2018/7/22	11:40	14
2018/7/22	11:45	19
2018/7/22	11:50	18
2018/7/22	11:55	13
2018/7/22	12:00	16
2018/7/22	12:05	20
2018/7/22	12:10	18
2018/7/22	12:15	16
2018/7/22	12:20	21
2018/7/22	12:25	14
2018/7/22	12:30	21
2018/7/22	12:35	16
2018/7/22	12:40	17
2018/7/22	12:45	18
2018/7/22	12:50	16
2018/7/22	12:55	20
2018/7/22	13:00	16
2018/7/22	13:05	22
2018/7/22	13:10	21
2018/7/22	13:15	14
2018/7/22	13:20	18
2018/7/22	13:25	17
2018/7/22	13:30	20
2018/7/22	13:35	23
2018/7/22	13:40	16
2018/7/22	13:45	23
2018/7/22	13:50	18
2018/7/22	13:55	11
2018/7/22	14:00	12
2018/7/22	14:05	14
2018/7/22	14:10	19
2018/7/22	14:15	18
2018/7/22	14:20	22
2018/7/22	14:25	17
2018/7/22	14:30	22
2018/7/22	14:35	15
2018/7/22	14:40	17
2018/7/22	14:45	19
2018/7/22	14:50	20
2018/7/22	14:55	20
2018/7/22	15:00	18
2018/7/22	15:05	19
2018/7/22	15:10	17
2018/7/22	15:15	8
2018/7/22	15:20	17
2018/7/22	15:25	18
2018/7/22	15:30	18
2018/7/22	15:35	19
2018/7/22	15:40	19
2018/7/22	15:45	15
2018/7/22	15:50	20
2018/7/22	15:55	20
2018/7/22	16:00	14
2018/7/22	16:05	20
2018/7/22	16:10	22
2018/7/22	16:15	11
2018/7/22	16:20	18
2018/7/22	16:25	23
2018/7/22	16:30	11
2018/7/22	16:35	22
2018/7/22	16:40	22
2018/7/22	16:45	14
2018/7/22	16:50	23
2018/7/22	16:55	24
2018/7/22	17:00	12
2018/7/22	17:05	21
2018/7/22	17:10	22
2018/7/22	17:15	25
2018/7/22	17:20	16
2018/7/22	17:25	20
2018/7/22	17:30	14
2018/7/22	17:35	13
2018/7/22	17:40	22
2018/7/22	17:45	22
2018/7/22	17:50	16
2018/7/22	17:55	26
2018/7/22	18:00	21
2018/7/22	18:05	16
2018/7/22	18:10	24
2018/7/22	18:15	25
2018/7/22	18:20	13
2018/7/22	18:25	17
2018/7/22	18:30	20
2018/7/22	18:35	13
2018/7/22	18:40	22
2018/7/22	18:45	15
2018/7/22	18:50	13
2018/7/22	18:55	22
2018/7/22	19:00	25
2018/7/22	19:05	12
2018/7/22	19:10	23
2018/7/22	19:15	25
2018/7/22	19:20	10
2018/7/22	19:25	16
2018/7/22	19:30	18
2018/7/22	19:35	12
2018/7/22	19:40	23
2018/7/22	19:45	18
2018/7/22	19:50	17
2018/7/22	19:55	11
2018/7/22	20:00	17
2018/7/22	20:05	19
2018/7/22	20:10	17
2018/7/22	20:15	13
2018/7/22	20:20	15
2018/7/22	20:25	18
2018/7/22	20:30	11
2018/7/22	20:35	13
2018/7/22	20:40	16
2018/7/22	20:45	10
2018/7/22	20:50	17
2018/7/22	20:55	11
2018/7/22	21:00	17
2018/7/22	21:05	11
2018/7/22	21:10	11
2018/7/22	21:15	8
2018/7/22	21:20	11
2018/7/22	21:25	14
2018/7/22	21:30	16
2018/7/22	21:35	9
2018/7/22	21:40	11
2018/7/22	21:45	7
2018/7/22	21:50	5
2018/7/22	21:55	5
2018/7/22	22:00	10
2018/7/22	22:05	14
